day_of_year,normalized_flow_factor
220,0.0712011554847
221,0.0664152679525
222,0.0634351666882
223,0.0639336966395
224,0.0623605576822
225,0.0633797744714
226,0.065850267341
227,0.0633576175847
228,0.0607209480647
229,0.0658391888977
230,0.0668805625737
231,0.071178998598
232,0.0839524437938
233,0.0964489279056
234,0.0933580422078
235,0.0972354973843
236,0.0864229366634
237,0.0908986277815
238,0.0992296171894
239,0.086500485767
240,0.0786237125369
241,0.0761532196673
242,0.0796650862129
243,0.0755882190559
244,0.0867331330776
245,0.0775380250875
246,0.0736384130242
247,0.0711125279378
248,0.0793216544687
249,0.0866112702006
250,0.0895802930215
251,0.0966261829994
252,0.100437167516
253,0.0966151045561
254,0.087176270812
255,0.0971801051675
256,0.0881844091579
257,0.0891925475038
258,0.0877301929801
259,0.0902449996232
260,0.095263534466
261,0.10879031381
262,0.11768630383
263,0.116700322371
264,0.109565804846
265,0.122948564426
266,0.10612040896
267,0.106397370044
268,0.103993347835
269,0.102641777745
270,0.104070896938
271,0.111781493518
272,0.162077626379
273,0.188267066486
274,0.136785540185
275,0.119403462551
276,0.143432606202
277,0.12566278305
278,0.118351010431
279,0.121076307498
280,0.124233663856
281,0.122073367401
282,0.130747788553
283,0.156748895123
284,0.151530948299
285,0.147686728453
286,0.168292633105
287,0.180246273492
288,0.158366347853
289,0.182894021456
290,0.181032842971
291,0.167284494759
292,0.20818610765
293,0.21474454612
294,0.210711992737
295,0.287219722592
296,0.202214826678
297,0.200253942203
298,0.201550120077
299,0.193340993546
300,0.183492257397
301,0.191745697702
302,0.234364469314
303,0.204851496198
304,0.27864500743
305,0.309343373985
306,0.279254321815
307,0.231362211163
308,0.419773297412
309,0.584110926238
310,0.433765371378
311,0.362464509903
312,0.315946126228
313,0.269737938967
314,0.269793331184
315,0.251591448741
316,0.334203400888
317,0.397372684935
318,0.315746714248
319,0.270291861135
320,0.309276903324
321,0.329450748686
322,0.320111620932
323,0.318737893955
324,0.391966404575
325,0.345880080191
326,0.391279541087
327,0.421335357926
328,0.394381505228
329,0.353058911489
330,0.321540740126
331,0.289202763953
332,0.285879230945
333,0.322648584462
334,0.285990015378
335,0.292703552055
336,0.374141189206
337,0.420515553118
338,0.389927970996
339,0.359628428403
340,0.332475163723
341,0.412738485878
342,0.533803714933
343,0.420936533965
344,0.503304760359
345,0.483064444337
346,0.589783089239
347,0.607131931543
348,0.698617716823
349,0.518958600828
350,0.463887658878
351,0.453595784995
352,0.520143994268
353,0.603996732072
354,0.641763145491
355,0.672051609642
356,0.569110713926
357,0.486166408478
358,0.564601787478
359,0.51968977809
360,0.606533695601
361,1.57441297833
362,1.49025004411
363,1.55080481552
364,2.05057555245
365,1.10247129112
